iter	Passed	Remaining
721	3517	1354
722	3519	1348
723	3522	1342
724	3524	1336
725	3527	1331
726	3529	1325
727	3532	1319
728	3534	1313
729	3537	1308
730	3540	1302
731	3543	1297
732	3546	1291
733	3548	1285
734	3551	1280
735	3553	1274
736	3555	1268
737	3557	1263
738	3559	1257
739	3562	1251
740	3565	1246
741	3567	1240
742	3569	1234
743	3572	1229
744	3574	1223
745	3577	1218
746	3579	1212
747	3582	1206
748	3585	1201
749	3587	1195
750	3590	1190
751	3593	1184
752	3595	1179
753	3598	1174
754	3601	1168
755	3604	1163
756	3608	1158
757	3610	1152
758	3613	1147
759	3616	1142
760	3619	1136
761	3622	1131
762	3626	1126
763	3629	1121
764	3633	1116
765	3637	1111
766	3640	1105
767	3643	1100
768	3646	1095
769	3649	1090
770	3652	1084
771	3655	1079
772	3658	1074
773	3660	1068
774	3663	1063
775	3666	1058
776	3668	1052
777	3671	1047
778	3674	1042
779	3677	1037
780	3681	1032
781	3684	1027
782	3687	1021
783	3690	1016
784	3693	1011
785	3695	1006
786	3698	1001
787	3700	995
788	3703	990
789	3705	985
790	3708	979
791	3711	974
792	3714	969
793	3716	964
794	3719	959
795	3722	953
796	3725	948
797	3727	943
798	3730	938
799	3733	933
800	3736	928
801	3739	923
802	3741	918
803	3745	913
804	3748	907
805	3750	902
806	3753	897
807	3757	892
808	3759	887
809	3763	882
810	3765	877
811	3769	872
812	3771	867
813	3774	862
814	3777	857
815	3781	852
816	3783	847
817	3786	842
818	3788	837
819	3791	832
820	3795	827
821	3800	823
822	3804	818
823	3807	813
824	3809	808
825	3812	803
826	3815	798
827	3819	793
828	3822	788
829	3825	783
830	3829	778
831	3832	773
832	3835	769
833	3838	764
834	3842	759
835	3845	754
836	3849	749
837	3851	744
838	3854	739
839	3858	734
840	3860	729
841	3863	724
842	3866	720
843	3868	715
844	3871	710
845	3874	705
846	3877	700
847	3880	695
848	3883	690
849	3887	685
850	3889	681
851	3892	676
852	3895	671
853	3898	666
854	3900	661
855	3903	656
856	3906	651
857	3909	646
858	3911	642
859	3913	637
860	3917	632
861	3919	627
862	3922	622
863	3924	617
864	3927	612
865	3930	608
866	3932	603
867	3935	598
868	3938	593
869	3941	588
870	3943	584
871	3946	579
872	3949	574
873	3952	569
874	3956	565
875	3959	560
876	3961	555
877	3964	550
878	3969	546
879	3971	541
880	3975	536
881	3977	532
882	3979	527
883	3982	522
884	3987	518
885	3990	513
886	3993	508
887	3996	504
888	3999	499
889	4002	494
890	4004	489
891	4007	485
892	4010	480
893	4013	475
894	4016	471
895	4019	466
896	4022	461
897	4025	457
898	4028	452
899	4030	447
900	4034	443
901	4037	438
902	4040	434
903	4043	429
904	4045	424
905	4049	420
906	4052	415
907	4054	410
908	4057	406
909	4060	401
910	4063	396
911	4066	392
912	4068	387
913	4072	383
914	4075	378
915	4079	374
916	4082	369
917	4085	364
918	4088	360
919	4091	355
920	4093	351
921	4096	346
922	4100	342
923	4103	337
924	4106	332
925	4109	328
926	4112	323
927	4115	319
928	4118	314
929	4122	310
930	4125	305
931	4128	301
932	4131	296
933	4133	292
934	4136	287
935	4139	283
936	4142	278
937	4144	273
938	4147	269
939	4149	264
940	4153	260
941	4155	255
942	4158	251
943	4160	246
944	4163	242
945	4166	237
946	4169	233
947	4172	228
948	4175	224
949	4177	219
950	4181	215
951	4183	210
952	4185	206
953	4188	201
954	4191	197
955	4194	193
956	4196	188
957	4199	184
958	4201	179
959	4204	175
960	4207	170
961	4210	166
962	4212	161
963	4215	157
964	4218	153
965	4221	148
966	4223	144
967	4226	139
968	4229	135
969	4232	130
970	4234	126
971	4237	122
972	4240	117
973	4243	113
974	4245	108
975	4248	104
976	4251	100
977	4254	95
978	4256	91
979	4259	86
980	4262	82
981	4265	78
982	4268	73
983	4271	69
984	4274	65
985	4276	60
986	4279	56
987	4282	52
988	4285	47
989	4287	43
990	4290	38
991	4293	34
992	4296	30
993	4300	25
994	4302	21
995	4305	17
996	4308	12
997	4310	8
998	4313	4
999	4316	0
